COUNCIL,DEPARTMENT,SERVICE,SECTION,TEAM,FTE_DAYS_LOST,PERIOD_FTE,ABSENCE RATE,HEADCOUNT
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Libraries & Culture,Heritage Team,0,1,0,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Libraries & Culture,Heritage Team,10.29,1,10.29,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Libraries & Culture,Libraries & Culture,0,4.76,0,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Libraries & Culture,Libraries & Information,0,34.97,0,49
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Libraries & Culture,Libraries & Information,4,1,4,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,CCCF,Strat Org Pol & Perform,Performance & Strategy,0,5.82,0,6
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Central ASN Support Serv,School Support Staff,0,15.43,0,20
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Children & Young People,Early Years HQ Resource,0,3.89,0,4
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Children & Young People,Pupil Support,0,1,0,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Children & Young People,Pupil Support,1,1,1,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,0,307.75,0,375
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,106.86,14.64,7.3,6
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,69.5,6.95,10.01,8
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,53.24,2.91,18.27,4
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,88.46,2,44.23,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,95.46,1.5,63.64,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,4.21,0.39,10.72,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,265.08,8.43,31.43,7
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Early Years,Early Years Support,98.28,2.8,35.1,4
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Education Central Mgmt,Education Central Mgmt,0,5,0,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Education Development,Attainment Challenge,0,2,0,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Education Development,Education Development,0,4.24,0,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Education Development,Senior Phase,0,4.04,0,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Education Development,Senior Phase,2,1,2,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Music Service,Music Instruction,0,11.93,0,19
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Music Service,YMI,0,3,0,4
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Performance & Improvemen,Performance & Improvemen,0,4.9,0,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Performance & Improvemen,Senior Phase,0,1,0,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,0,189.82,0,261
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,29.84,1.07,27.85,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,59.29,1.57,37.73,3
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,11.74,0.71,16.44,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,50.82,0.86,59.29,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,86.52,3.23,26.8,5
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Primary Schools,School Support Staff,43.36,1.43,30.35,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Psychological Services,Psychological Services,0,9,0,12
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Psychological Services,Psychological Services,38.57,1,38.57,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Rais Attain Improv Learn,Rais Attain Improv Learn,0,1,0,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,0,91.68,0,115
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,22.14,1,22.14,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,43.58,2,21.79,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,2,1,2,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,11.79,0.39,30.01,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,45.14,2.2,20.52,3
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,25.54,0.39,65.01,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Secondary Schools,School Support Staff,40.97,0.79,52.14,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Special Schools & Units,School Support Staff,0,52.8,0,74
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Special Schools & Units,School Support Staff,3.93,0.79,5,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Special Schools & Units,School Support Staff,353.03,14.42,24.48,19
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Special Schools & Units,School Support Staff,12.35,1.57,7.86,2
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Special Schools & Units,School Support Staff,26.38,0.79,33.57,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Technician Services,Technician Services,0,15.55,0,19
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Technician Services,Technician Services,7.97,0.6,13.28,1
West Dunbartonshire Coun,Transform & Pub Sec Refo,Educ Learning & Attain,Workforce / CPD,Workforce / CPD,0,6.21,0,7
West Dunbartonshire Coun,Transform & Pub Sec Refo,Resources (Pro),Procurement,Procurement,0,18.53,0,21
